Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Electromagnétisme KHADIRI,02/09/2026,08:30 AM,02/09/2026,10:30 AM,False,Section 6 - Week 14,,False
Progr avancée AHMADI,02/09/2026,10:30 AM,02/09/2026,12:30 PM,False,Section 6 - Week 14,,False
développement personnel BADIOUI,02/09/2026,02:30 PM,02/09/2026,04:30 PM,False,Section 6 - Week 14,,False
Elément de mach OUDRA,02/10/2026,08:30 AM,02/10/2026,12:30 PM,False,Section 6 - Week 14,,False
English for International,02/10/2026,02:30 PM,02/10/2026,04:30 PM,False,Section 6 - Week 14,,False
Techniques d'écriture ISMAILI,02/10/2026,04:30 PM,02/10/2026,06:30 PM,False,Section 6 - Week 14,,False
Algébre 2 NAJMEDDINE,02/11/2026,08:30 AM,02/11/2026,10:30 AM,False,Section 6 - Week 14,,False
Méthodes numérique FASSI FIHRI,02/11/2026,10:30 AM,02/11/2026,12:30 PM,False,Section 6 - Week 14,,False
Algébre 2 NAJMEDDINE,02/12/2026,10:30 AM,02/12/2026,12:30 PM,False,Section 6 - Week 14,,False
Analyse 4 MOUZOUN,02/12/2026,04:30 PM,02/12/2026,06:30 PM,False,Section 6 - Week 14,,False
Optique QARCHI,02/13/2026,08:30 AM,02/13/2026,10:30 AM,False,Section 6 - Week 14,,False
développement personnel,02/13/2026,10:30 AM,02/13/2026,12:30 PM,False,Section 6 - Week 14,,False
Analyse 4 MOUZOUN,02/13/2026,05:00 PM,02/13/2026,07:00 PM,False,Section 6 - Week 14,,False
Electromagnétisme KHADIRI,02/16/2026,08:30 AM,02/16/2026,10:30 AM,False,Section 6 - Week 15,,False
Progr avancée AHMADI,02/16/2026,10:30 AM,02/16/2026,12:30 PM,False,Section 6 - Week 15,,False
développement personnel BADIOUI,02/16/2026,02:30 PM,02/16/2026,04:30 PM,False,Section 6 - Week 15,,False
Elément de mach OUDRA,02/17/2026,08:30 AM,02/17/2026,12:30 PM,False,Section 6 - Week 15,,False
English for International,02/17/2026,02:30 PM,02/17/2026,04:30 PM,False,Section 6 - Week 15,,False
Techniques d'écriture ISMAILI,02/17/2026,04:30 PM,02/17/2026,06:30 PM,False,Section 6 - Week 15,,False
Algébre 2 NAJMEDDINE,02/18/2026,08:30 AM,02/18/2026,10:30 AM,False,Section 6 - Week 15,,False
Méthodes numérique FASSI FIHRI,02/18/2026,10:30 AM,02/18/2026,12:30 PM,False,Section 6 - Week 15,,False
Algébre 2 NAJMEDDINE,02/19/2026,10:30 AM,02/19/2026,12:30 PM,False,Section 6 - Week 15,,False
Analyse 4 MOUZOUN,02/19/2026,04:30 PM,02/19/2026,06:30 PM,False,Section 6 - Week 15,,False
Optique QARCHI,02/20/2026,08:30 AM,02/20/2026,10:30 AM,False,Section 6 - Week 15,,False
développement personnel,02/20/2026,10:30 AM,02/20/2026,12:30 PM,False,Section 6 - Week 15,,False
Analyse 4 MOUZOUN,02/20/2026,05:00 PM,02/20/2026,07:00 PM,False,Section 6 - Week 15,,False
Electromagnétisme KHADIRI,02/23/2026,08:30 AM,02/23/2026,10:30 AM,False,Section 6 - Week 16,,False
Progr avancée AHMADI,02/23/2026,10:30 AM,02/23/2026,12:30 PM,False,Section 6 - Week 16,,False
développement personnel BADIOUI,02/23/2026,02:30 PM,02/23/2026,04:30 PM,False,Section 6 - Week 16,,False
Elément de mach OUDRA,02/24/2026,08:30 AM,02/24/2026,12:30 PM,False,Section 6 - Week 16,,False
English for International,02/24/2026,02:30 PM,02/24/2026,04:30 PM,False,Section 6 - Week 16,,False
Techniques d'écriture ISMAILI,02/24/2026,04:30 PM,02/24/2026,06:30 PM,False,Section 6 - Week 16,,False
Algébre 2 NAJMEDDINE,02/25/2026,08:30 AM,02/25/2026,10:30 AM,False,Section 6 - Week 16,,False
Méthodes numérique FASSI FIHRI,02/25/2026,10:30 AM,02/25/2026,12:30 PM,False,Section 6 - Week 16,,False
Algébre 2 NAJMEDDINE,02/26/2026,10:30 AM,02/26/2026,12:30 PM,False,Section 6 - Week 16,,False
Analyse 4 MOUZOUN,02/26/2026,04:30 PM,02/26/2026,06:30 PM,False,Section 6 - Week 16,,False
Optique QARCHI,02/27/2026,08:30 AM,02/27/2026,10:30 AM,False,Section 6 - Week 16,,False
développement personnel,02/27/2026,10:30 AM,02/27/2026,12:30 PM,False,Section 6 - Week 16,,False
Analyse 4 MOUZOUN,02/27/2026,05:00 PM,02/27/2026,07:00 PM,False,Section 6 - Week 16,,False
